productid,productname,category,unitprice,currentdiscountpct,supplier
2000,Electronics-Be,Electronics,969.31,5.0,Acme
2001,Electronics-Be,Clothing,412.35,12.0,BlueSky
2003,Electronics-Training,Clothing,385.18,10.0,Acme
2004,Office-Where,Home,927.25,5.0,Acme
2005,Office-Huge,Home,428.78,0.0,NorthPeak
2006,Office-Class,Clothing,198.0,2.0,BlueSky
2007,Clothing-Over,Electronics,583.39,6.0,Acme
2008,Electronics-Skin,Home,66.59,9.0,NorthPeak
2010,Electronics-Themselves,Clothing,77.84,,nan
2011,Electronics-Religious,Clothing,409.74,,nan
2012,Clothing-Artist,Electronics,623.19,,nan
2013,Office-Cultural,Home,935.36,,nan
2014,Clothing-Eat,Home,246.3,,nan
2015,Office-Itself,Clothing,674.97,,nan
2016,Home-He,Office,323.02,,nan
2017,Electronics-Feeling,Electronics,463.7,,nan
2018,Electronics-Nature,Electronics,542.26,,nan
2019,Home-History,Clothing,933.93,,nan
2020,Electronics-Share,Clothing,375.83,,nan
2021,Clothing-Skill,Office,835.41,,nan
2022,Home-Economy,Electronics,671.18,,nan
2023,Home-Yeah,Electronics,939.54,,nan
2024,Clothing-Paper,Home,124.27,,nan
2025,Electronics-Assume,Clothing,279.62,,nan
2026,Clothing-Use,Home,211.56,,nan
2027,Home-Purpose,Office,258.61,,nan
2028,Electronics-Take,Electronics,637.94,,nan
2029,Home-Yourself,Electronics,13.51,,nan
2030,Clothing-First,Home,169.97,,nan
2031,Office-Develop,Office,565.3,,nan
2032,Electronics-There,Electronics,945.6,,nan
2033,Clothing-Argue,Electronics,836.25,,nan
2034,Clothing-Feel,Office,136.17,,nan
2035,Home-According,Home,899.99,,nan
2036,Electronics-Candidate,Home,217.98,,nan
2037,Clothing-Meeting,Electronics,360.14,,nan
2038,Office-Soon,Clothing,926.51,,nan
2039,Clothing-Need,Clothing,976.44,,nan
2040,Clothing-Determine,Office,34.54,,nan
2041,Home-Assume,Office,804.21,,nan
2042,Clothing-Lawyer,Home,167.61,,nan
2043,Electronics-Practice,Office,873.45,,nan
2044,Office-Society,Clothing,207.58,,nan
2045,Office-Next,Home,312.14,,nan
2046,Clothing-Worry,Clothing,33.43,,nan
2047,Clothing-Hair,Office,334.98,,nan
2048,Electronics-Candidate,Home,357.63,,nan
2049,Office-Easy,Home,939.84,,nan
2050,Electronics-Young,Home,186.78,,nan
2051,Home-Century,Electronics,117.32,,nan
2052,Office-Year,Home,731.26,,nan
2053,Home-Ground,Office,610.15,,nan
2054,Electronics-Above,Office,900.51,,nan
2055,Clothing-Politics,Home,53.94,,nan
2056,Office-About,Electronics,524.72,,nan
2057,Clothing-Identify,Home,436.98,,nan
2058,Home-Wear,Home,666.75,,nan
2059,Electronics-Clear,Home,512.05,,nan
2060,Office-Term,Home,408.38,,nan
2061,Home-Quite,Clothing,199.92,,nan
2062,Office-Receive,Clothing,619.36,,nan
2063,Home-Good,Office,552.46,,nan
2064,Electronics-Stop,Home,294.04,,nan
2065,Office-Animal,Home,470.34,,nan
2066,Office-Occur,Clothing,516.06,,nan
2067,Clothing-Remain,Electronics,290.95,,nan
2068,Home-Read,Electronics,820.24,,nan
2069,Clothing-Garden,Home,232.39,,nan
2070,Clothing-About,Clothing,34.18,,nan
2071,Clothing-Success,Office,615.16,,nan
2072,Electronics-Become,Office,420.3,,nan
2073,Clothing-Executive,Office,499.43,,nan
2074,Clothing-Strong,Clothing,659.5,,nan
2075,Electronics-Letter,Electronics,780.64,,nan
2076,Clothing-Affect,Clothing,806.07,,nan
2077,Office-Ball,Electronics,561.83,,nan
2078,Electronics-Film,Office,142.01,,nan
2079,Office-Who,Home,950.54,,nan
2080,Office-Doctor,Office,832.26,,nan
2081,Office-Light,Clothing,746.22,,nan
2082,Office-Figure,Office,266.6,,nan
2083,Clothing-Cut,Home,768.16,,nan
2084,Office-Stuff,Clothing,281.85,,nan
2085,Electronics-Officer,Home,242.15,,nan
2086,Home-Of,Home,894.1,,nan
2087,Electronics-Rather,Clothing,159.32,,nan
2088,Office-Evening,Clothing,709.35,,nan
2089,Electronics-Action,Office,413.52,,nan
2090,Office-Staff,Office,71.64,,nan
2091,Office-Mrs,Office,905.79,,nan
2092,Electronics-Add,Office,482.21,,nan
2093,Home-Real,Home,755.94,,nan
2094,Office-Fight,Clothing,493.35,,nan
2095,Home-Seem,Office,490.79,,nan
2096,Office-Discuss,Home,672.18,,nan
2097,Office-Recent,Clothing,842.1,,nan
2098,Clothing-Trouble,Electronics,907.86,,nan
2099,Electronics-Several,Electronics,646.32,,nan
